Voie(s),lat,lon,début,fin,Niveau de perturbation
"rue Rataud, rue Pierre Brossolette.",48.84213805283548,2.34694153763722,2024-09-05,2026-12-31,2
du 23 au 27 rue Saint-Quentin,48.87861607788131,2.3556125113066106,2024-10-01,2026-06-30,2
2-4 rue Royale,48.867256934187296,2.3224466821551357,2025-03-03,2025-10-31,1
rue de l'Aqueduc.,48.88261177365678,2.3644037804904943,2025-02-24,2026-03-30,1
place Napoléon,48.8797009249162,2.3550187837566194,2025-07-08,2026-02-27,1
"rue Alfred de Vigny, depuis Bd Courcelles à Av Hoche.",48.87869935832171,2.305119441833782,2025-09-01,2025-12-05,2
avenue Henri Rol-Tanguy,48.83386370411516,2.332239688952074,2025-11-03,2026-04-30,2
Place Félix Eboué-rue de Reuilly-avenue Daumesnil-avenue de Reuilly,48.83977691575033,2.3949433989966837,2024-06-17,2025-12-31,2
rue du Commandant René Mouchotte,48.8386860650905,2.3200858554613744,2025-06-09,2026-03-23,2
26 rue du faubourg Saint-Martin.,48.870031249723084,2.3561974276080986,2025-07-17,2026-06-30,2
rue des Epinettes .,48.89688752416774,2.3238069390139255,2025-08-18,2026-12-30,2
Boulevard de l'Hopital,48.841444948688114,2.3629204531842793,2025-09-30,2025-12-05,1
rue Pierre Bayle,48.85871605482454,2.390601990997054,2025-10-13,2025-11-07,1
Place de la Nation,48.847721304519226,2.396928147068433,2022-07-18,2025-11-28,2
Boulevard Vaugirard (1-17),48.84170643714342,2.3194725247371406,2024-10-30,2026-03-30,1
rue Nationale.,48.83045368798064,2.3643144119020167,2025-01-13,2026-03-06,1
place du colonel Fabien,48.87801383776766,2.370362507056921,2025-01-01,2026-05-01,1
Rue Vaugirard,48.84926140321307,2.3374220509138848,2025-07-02,2026-07-02,2
rue Caulaincourt,48.88553327383164,2.3309302200373456,2025-09-22,2025-12-02,1
quai de Valmy,48.87532853084867,2.3637241453590185,2025-09-29,2026-03-16,1
11 rue Galilée,48.8682057750075,2.2917908344937152,2026-01-19,2026-01-23,1
Rue Niepce,48.83484937402215,2.3183568054757377,2024-03-01,2026-07-31,1
Avenue Mathurin Moreau,48.87881337819478,2.3777140220428974,2025-01-20,2026-02-02,1
40 rue Desnouettes angle avec rue de la Croix Nivert,48.83593323671704,2.2894636858354747,2025-08-11,2026-10-30,2
rue du repos-rue pierre bayle-contre allée de charonne,48.85857891637947,2.390537315992507,2025-08-18,2025-11-07,1
rue de Lyon,48.85164430425998,2.3698815478479522,2026-01-26,2026-02-05,1
59- 61 boulevard Haussmann,48.87384285325348,2.3259469835618387,2025-03-24,2026-09-14,2
rue du docteur Déjerine,48.8558437307092,2.411908038292106,2025-05-19,2025-10-17,1
quai de Conti,48.85634925302535,2.3399671001223075,2025-07-15,2025-12-19,1
avenue Débidour,48.88138487490067,2.3969806510859684,2025-09-15,2025-12-05,1
Rue de Maubeuge,48.88334292681566,2.3550956528458444,2022-10-10,2026-06-03,2
Avenue de la porte Chaumont,48.88626507955171,2.3954143076207526,2025-10-20,2025-11-03,2
Avenue parmentier,48.86121840722787,2.3777626743085785,2025-03-10,2025-11-28,1
198 -- 206 rue de la Croix Nivert,48.83799505111319,2.289274262448886,2025-11-07,2025-12-12,1
avenue Maurice d'Ocagne,48.82384690658231,2.316831576340699,2025-11-03,2025-11-21,2
42 boulevard du Montparnasse.,48.8447949508643,2.3207923341848087,2024-10-07,2026-02-16,2
Place ValHubert,48.84397185783475,2.3646557380026203,2025-07-30,2025-12-02,1
Rue  Boullainvilliers,48.851920958050805,2.277550787213821,2019-07-01,2025-12-31,2
rue de la Croix Nivert,48.84409559011973,2.296293191211883,2025-01-07,2025-12-31,1
rue Manin et rue David d'Angers,48.88318302258288,2.3884371408804905,2025-10-27,2025-11-14,2
17-21 rue René Cotty,48.82947779024149,2.334373052957334,2025-11-03,2026-04-30,2
rue Lobau,48.855893990018075,2.3537127258768105,2025-11-02,2025-11-17,1
rue Lafayette et rue de l'Aqueduc,48.87984282429404,2.359292274047231,2024-09-16,2027-02-02,1
,48.839379679853586,2.39662252961462,2024-08-01,2025-12-31,1
"Oreille rue de Provence, rue de rome, Bld Haussamnn",48.87404821223789,2.3259813854514197,2025-03-24,2026-09-14,2
81 - 83 Boulevard de Strasbourg,48.875627858833006,2.357752906252346,2024-11-17,2025-11-14,2
12 rue des Fêtes,48.87646337009393,2.3923728976166165,2025-01-06,2026-01-29,1
rue Nationale,48.83219893646782,2.362797787744104,2025-01-13,2026-03-06,1
189 rue de Vaugirard,48.842572560704156,2.3117284671910614,2025-03-26,2026-09-30,1
rue van Gogh,48.84411765294246,2.371620911674914,2025-06-16,2025-10-31,1
178 rue du Faubourg Saint-Martin angle rue du Terrage.,48.877908478189966,2.361857087204525,2025-06-17,2027-05-28,1
164 rue de Rivoli,48.86176405953054,2.3384264252805,2025-08-11,2026-03-31,2
12 - 14 rue Vernet,48.8715977320742,2.299349661173419,2025-11-13,2025-12-19,1
Avenue de la porte d'Aubervilliers,48.90147192593789,2.37014580141031,2025-11-12,2026-04-03,1
Quai André Citroën,48.84843637487578,2.2812529587641186,2023-06-12,2025-12-31,2
Quai Voltaire,48.85926763703709,2.329935695831666,2024-10-01,2026-08-01,1
Place Nationale.,48.829069102306285,2.365232422484482,2025-01-13,2026-03-06,2
61-59 boulevard Haussmann,48.87390229794389,2.3258347373474058,2024-09-14,2026-09-14,2
Boulevard Berthier,48.89233170224288,2.309185130791831,2025-03-31,2025-10-31,1
Rue Guy Lussac,48.842300054626904,2.34300402784611,2025-08-04,2025-11-28,1
Bretelle sortie Bd Périphérique(bj/18),48.90024203846762,2.3581265643694023,2025-04-01,2025-10-31,1
rue de la Fayette du 168 au 178,48.88023383674407,2.3604477837174476,2025-07-21,2027-03-30,1
31 boulevard de Grenelle,48.85248506828171,2.2910360754282553,2025-08-03,2025-10-31,2
105 quai d'Austerlitz,48.843290055443894,2.3658842475634936,2025-09-29,2027-04-01,2
Secteur quai d'Ivry,48.824945580960076,2.384284439827768,2012-01-01,2025-10-31,2
Rue du Docteur Blanche,48.85351124901634,2.265144855721094,2023-03-27,2026-07-06,2
5 rue du Bessin,48.83097169004043,2.3060615779034053,2024-10-07,2026-02-13,2
Boulevard de la Bastille,48.849111388744525,2.3680726230268947,2025-04-14,2026-01-30,1
17 Rue du Faubourg Poissonnière,48.872227865684295,2.3478473766165115,2025-06-26,2026-12-15,2
rue de Lyon,48.85282670361018,2.3696031039415084,2025-09-29,2026-04-30,1
rue de Bercy,48.84340214278029,2.3743379954241055,2025-10-03,2027-12-31,1
rue de l'Amiral Mouchez,48.81964636510817,2.3444198784227677,2025-11-07,2025-12-12,1
Avenue Ernest Renan,48.831600840119194,2.286437328873212,2025-08-31,2026-10-31,2
rue Auguste Dorchain et rue Joseph Liouville,48.84455472792496,2.2978075906291853,2025-01-13,2025-12-31,1
61 - 59 Bld Haussmann,48.87379594480869,2.325945345329151,2024-09-02,2026-09-14,2
rue du Général brunet,48.880112606108995,2.390352587988481,2025-09-02,2025-11-14,1
Avenue Ernest Renan,48.831377103388654,2.286453825475676,2025-07-01,2025-10-31,2
rue Louis Lumière,48.8577089901828,2.4116096702507046,2025-08-04,2025-10-17,1
Av de France,48.82630766425324,2.3799694728731717,2018-07-23,2025-10-31,2
79 boulevard de Strasbourg.,48.8752975487471,2.357585321445377,2024-11-12,2025-11-14,2
Place Denfert Rochereau,48.83415565136278,2.332637279493124,2025-05-05,2025-12-18,1
Avenue de la porte de Montreuil-rue Maryse Hilsz-rue du Dc Déjerine,48.853950885732125,2.4122288275420813,2025-07-30,2025-10-31,2
rue Paul Barruel Paris 15,48.83954177580066,2.304658267792856,2024-10-21,2026-10-31,2
terre plein centrale en vie à vie du 66 avenue du Maine,48.83998703501095,2.3218355368042887,2025-06-30,2025-10-31,2
58 Rue de Rivoli,48.857165818511,2.353098516403715,2025-08-04,2025-11-28,2
Boulevard de l'Hopital,48.84219098441977,2.3640339656032325,2024-01-08,2026-10-09,2
Quai saint Bernard,48.84623422391126,2.3620318703993375,2025-09-15,2025-10-24,1
